startdate,enddate,status,ipaddress,progress,durationinseconds,finished,recordeddate,responseid,recipientlastname,recipientfirstname,recipientemail,externalreference,locationlatitude,locationlongitude,distributionchannel,userlanguage,q_recaptchascore,consent,ready_quiz1,quiz1_1,quiz1_2,quiz1_3,allocation_luck,ready_quiz2,quiz2_1,quiz2_2,quiz2_3,allocation_merit,ready_quiz3,quiz3_1,quiz3_2,quiz3_3,allocation_educ,ready_quiz4,quiz4_1,quiz4_2,quiz4_3,tickYN_educ,tickYN_educ_firstClick,tickYN_educ_lastClick,q91_pagesubmit,tickYN_educ_tick_count,tick241_educ,allocation_info_educ_NoTick,allocation_info_educ_YesTick,ready_quiz5,quiz5_1,quiz5_2,quiz5_3,allocation_employ,ready_quiz6,quiz6_1,quiz6_2,quiz6_3,tickYN_employ,tickYN_employ_firstClick,tickYN_employ_lastClick,q151_pagesubmit,tickYN_employ_tick_count,tick241_employ,allocation_info_employ_NoTick,allocation_info_employ_YesTick,survey_fair1,survey_reason_text,q182_4_text,q182_7_text,male,age,edu,income,party,q187_6_text,attitude,englishNative,q189_2_text,followup,mTurkID,sc0,sc1,confirmation_code,scoreopportunity,scoreemployment,passQuiz
2022-01-23 03:41:54,2022-01-23 03:45:33,IP Address,212.107.29.84,100,218,True,2022-01-23 03:45:33,R_3RjWQYArKbOCLdQ,,,,,22.290802001953125,114.15008544921875,anonymous,EN,,I agree,,,,,,,,,,,,,,,,I am ready for the comprehension quiz.,True,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,53533,,,
2022-01-25 18:12:15,2022-01-25 18:13:06,IP Address,174.134.34.162,100,51,True,2022-01-25 18:13:06,R_Ajjausq7OUyPlU5,,,,,35.3043975830078125,-119.1031036376953125,anonymous,EN,1,I agree,I am ready for the comprehension quiz.,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,20393,,,
2022-01-25 18:11:38,2022-01-25 18:13:41,IP Address,69.237.15.21,100,123,True,2022-01-25 18:13:42,R_1KlNHlmMl7U0I8e,,,,,28.65289306640625,-81.210601806640625,anonymous,EN,0.89999997615814208984375,I agree,,,,,,,,,,,I am ready for the comprehension quiz.,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,55641,,,
2022-01-25 18:12:13,2022-01-25 18:14:04,IP Address,68.67.27.47,100,111,True,2022-01-25 18:14:05,R_2bM6WlJYLD8YB1v,,,,,37.09039306640625,-88.8740997314453125,anonymous,EN,1,I agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,I am ready for the comprehension quiz.,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,87110,,,
2022-01-25 18:12:24,2022-01-25 18:14:19,IP Address,104.28.55.233,100,115,True,2022-01-25 18:14:20,R_1CHdXnII6FRcu0x,,,,,40.7487945556640625,-73.9882965087890625,anonymous,EN,0.800000011920928955078125,I agree,,,,,,,,,,,I am ready for the comprehension quiz.,True,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,43787,,,
2022-01-25 18:12:18,2022-01-25 18:14:27,IP Address,172.250.114.178,100,129,True,2022-01-25 18:14:27,R_1H0raIyH0PvPs4x,,,,,33.9893035888671875,-118.0890045166015625,anonymous,EN,0.89999997615814208984375,I agree,,,,,,,,,,,,,,,,I am ready for the comprehension quiz.,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,85348,,,
2022-01-25 18:13:12,2022-01-25 18:14:31,IP Address,70.173.123.75,100,79,True,2022-01-25 18:14:31,R_3dS6Ntt1oef3zZn,,,,,36.109100341796875,-114.92060089111328125,anonymous,EN,1,I agree,,,,,,,,,,,I am ready for the comprehension quiz.,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,74936,,,
2022-01-25 18:12:46,2022-01-25 18:14:57,IP Address,69.237.15.21,100,131,True,2022-01-25 18:14:57,R_YbHCrcUlIdSuHTz,,,,,28.65289306640625,-81.210601806640625,anonymous,EN,0.89999997615814208984375,I agree,I am ready for the comprehension quiz.,True,True,True,Worker A is paid 3 USD and worker B is paid 3 USD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very unfair,I redistributed the money based on what I believe is fair between the two workers.,,,Male,23 to 29,graduated from a 4 year college,"$15,001 to $30,000",Democrat,,The amount of inequality in society is very unacceptable.,Yes,,Yes,ATU582WJWMEL2,0,0,98276,,,
2022-01-25 18:12:13,2022-01-25 18:15:03,IP Address,96.28.19.65,100,169,True,2022-01-25 18:15:03,R_1ilHdYZ5GFz0Cbz,,,,,39.029998779296875,-84.55899810791015625,anonymous,EN,1,I agree,I am ready for the comprehension quiz.,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,93979,,,
2022-01-25 18:13:31,2022-01-25 18:15:10,IP Address,104.231.97.46,100,98,True,2022-01-25 18:15:10,R_2U0e0zHpSnorp0f,,,,,41.686798095703125,-81.33989715576171875,anonymous,EN,1,I agree,I am ready for the comprehension quiz.,True,True,True,Worker A is paid 3 USD and worker B is paid 3 USD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very unfair,I redistributed the money based on what I believe is fair between the two workers as well as myself.,,,Male,30 to 39,graduated from a 4 year college,"$0 to $15,000",Democrat,,The amount of inequality in society is very unacceptable.,Yes,,Yes,AERUGBNS48Z4N,0,0,55435,,,
2022-01-25 18:14:39,2022-01-25 18:15:13,IP Address,172.250.114.178,100,33,True,2022-01-25 18:15:13,R_1dMsKoI0pdZriSC,,,,,33.9893035888671875,-118.0890045166015625,anonymous,EN,0.89999997615814208984375,I agree,I am ready for the comprehension quiz.,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,40817,,,
2022-01-25 18:13:32,2022-01-25 18:15:14,IP Address,73.74.107.84,100,101,True,2022-01-25 18:15:15,R_3JDe1GCaHcNBDY8,,,,,40.141204833984375,-87.62640380859375,anonymous,EN,1,I agree,,,,,,,,,,,I am ready for the comprehension quiz.,True,True,True,Worker A is paid 3 USD and worker B is paid 3 USD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fair,I redistributed the money based on what I believe is fair between the two workers.,,,Female,50 to 59,graduated from a 4 year college,"$70,001 to $100,000",Democrat,,The amount of inequality in society is moderately reasonable.,Yes,,Yes,A1JLZTMOYJKMO3,0,0,49502,,,
2022-01-25 18:12:59,2022-01-25 18:15:18,IP Address,24.15.84.105,100,139,True,2022-01-25 18:15:18,R_1FFYKZmnnkQyFg1,,,,,41.8733062744140625,-88.116302490234375,anonymous,EN,0.89999997615814208984375,I agree,I am ready for the comprehension quiz.,True,True,True,Worker A is paid 3 USD and worker B is paid 3 USD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very fair,I redistributed the money based on what I believe is fair between the two workers.,,,Female,40 to 49,graduated from a 4 year college,"$30,001 to $50,000",Democrat,,The amount of inequality in society is moderately reasonable.,Yes,,Yes,A3V7RI8OJVT8HL,0,0,78630,,,
2022-01-25 18:12:27,2022-01-25 18:15:27,IP Address,98.146.164.66,100,179,True,2022-01-25 18:15:27,R_1MZkYqomUVYLFGG,,,,,47.7241973876953125,-116.7834014892578125,anonymous,EN,0.89999997615814208984375,I agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,I am ready for the comprehension quiz.,True,True,True,Worker A is paid 3 USD and worker B is paid 3 USD.,,,,,,,,,,,,,Unfair,I redistributed the money based on what I believe is fair between the two workers.,,,Female,30 to 39,some graduate school attended or higher,"$50,001 to $70,000",Democrat,,The amount of inequality in society is very unacceptable.,Yes,,Yes,A2A5HAPJD18TRU,0,0,31566,,,
2022-01-25 18:12:45,2022-01-25 18:15:50,IP Address,68.6.125.67,100,184,True,2022-01-25 18:15:50,R_1OTDA7YYbzOY63s,,,,,34.4264984130859375,-119.86309814453125,anonymous,EN,1,I agree,,,,,,,,,,,,,,,,I am ready for the comprehension quiz.,True,True,True,Go to the 3-digit code task to try to learn the information,3.226,37.001,38.074,47,"241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241",,Worker A is paid 4 USD and worker B is paid 2 USD.,,,,,,,,,,,,,,,,,,Unfair,I redistributed the money based on what I believe is fair between the two workers.,,,Female,30 to 39,graduated from a 4 year college,"$50,001 to $70,000",Democrat,,The amount of inequality in society is very unacceptable.,Yes,,Yes,A3A7O8IJMBLF5J,33,0,18754,33,,
2022-01-25 18:12:07,2022-01-25 18:15:51,IP Address,68.49.73.67,100,224,True,2022-01-25 18:15:52,R_28B43Boav4nqSHp,,,,,42.6584014892578125,-83.23639678955078125,anonymous,EN,1,I agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,I am ready for the comprehension quiz.,True,True,True,Worker A is paid 4 USD and worker B is paid 2 USD.,,,,,,,,,,,,,Unfair,I redistributed the money based on what I believe is fair between the two workers.,,,Female,23 to 29,graduated from a 4 year college,"$70,001 to $100,000",Independent,,The amount of inequality in society is somewhat unacceptable.,Yes,,Yes,A3Q7DITNWEO0N,0,0,15761,,,
2022-01-25 18:11:55,2022-01-25 18:16:20,IP Address,173.80.212.22,100,264,True,2022-01-25 18:16:20,R_3HpgWx73GNJ1U5q,,,,,37.6605072021484375,-82.7628021240234375,anonymous,EN,0.89999997615814208984375,I agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I am ready for the comprehension quiz.,True,True,True,Go to the 3-digit code task to try to learn the information,2.023,18.051,18.476,5,241,Worker A is paid 4 USD and worker B is paid 2 USD.,,Fair,I redistributed the money based on what I believe is fair between the two workers.,,,Female,30 to 39,"some college education, or 2 year college degree","$70,001 to $100,000",Republican,,The amount of inequality in society is very reasonable.,Yes,,Yes,A27O7H19C0WQ7T,0,1,88257,,1,
2022-01-25 18:12:41,2022-01-25 18:16:39,IP Address,98.213.204.150,100,237,True,2022-01-25 18:16:39,R_2uWJpKyAidUuHPM,,,,,42.2964019775390625,-89.0886993408203125,anonymous,EN,,I agree,,,,,,,,,,,I am ready for the comprehension quiz.,True,True,True,Worker A is paid 3 USD and worker B is paid 3 USD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very unfair,I redistributed the money based on what I believe is fair between the two workers.,,,Female,40 to 49,graduated from a 4 year college,"$30,001 to $50,000",Independent,,The amount of inequality in society is somewhat unacceptable.,Yes,,Yes,A2H9FMJIC40XBI,0,0,56008,,,
2022-01-25 18:12:55,2022-01-25 18:16:41,IP Address,69.137.127.217,100,225,True,2022-01-25 18:16:41,R_29cdJ0bDYf1uvWs,,,,,37.6875,-85.87470245361328125,anonymous,EN,0.800000011920928955078125,I agree,,,,,,I am ready for the comprehension quiz.,True,True,True,Worker A is paid 6 USD and worker B is paid 0 USD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very fair,I did not redistribute because I believe the original rules of the reward scheme between the two workers should be followed.,,,Female,40 to 49,graduated from a 4 year college,"$50,001 to $70,000",Democrat,,The amount of inequality in society is very unacceptable.,Yes,,Yes,AQZF7SJCVT9GT,0,0,27448,,,
2022-01-25 18:12:21,2022-01-25 18:16:42,IP Address,73.244.173.239,100,261,True,2022-01-25 18:16:43,R_2CNzCUrHM7ENOAz,,,,,27.589202880859375,-80.4004974365234375,anonymous,EN,1,I agree,,,,,,I am ready for the comprehension quiz.,True,True,True,Worker A is paid 4 USD and worker B is paid 2 USD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unfair,I redistributed the money based on what I believe is fair between the two workers as well as myself.,,,Female,30 to 39,completed high school,"$15,001 to $30,000",Independent,,The amount of inequality in society is very unacceptable.,Yes,,Yes,A8B4WA1QFNUAW,0,0,49416,,,
