startdate,enddate,status,ipaddress,progress,durationinseconds,finished,recordeddate,responseid,recipientlastname,recipientfirstname,recipientemail,externalreference,locationlatitude,locationlongitude,distributionchannel,userlanguage,q_recaptchascore,consent,ready_quiz7,quiz7_1,quiz7_2,quiz7_3,allocation_luck10,allocation_luck00,allocation_luck01,allocation_luck50,allocation_luck90,allocation_luck99,allocation_luck100,ready_quiz8,quiz8_1,quiz8_2,quiz8_3,edu_15v4_belief,edu_15v4_decision,edu_15v0_belief,edu_15v0_decision,edu_15v1_belief,edu_15v1_decision,edu_15v7_belief,edu_15v7_decision,edu_15v11_belief,edu_15v11_decision,edu_15v14_belief,edu_15v14_decision,edu_15v15_belief,edu_15v15_decision,ready_quiz9,quiz9_1,quiz9_2,quiz9_3,emp_15v4_belief,emp_15v4_decision,emp_15v0_belief,emp_15v0_decision,emp_15v1_belief,emp_15v1_decision,emp_15v7_belief,emp_15v7_decision,emp_15v11_belief,emp_15v11_decision,emp_15v14_belief,emp_15v14_decision,emp_15v15_belief,emp_15v15_decision,survey_consideration,q121_4_text,q121_7_text,survey_opinion_educ,survey_opinion_employ,survey_surpassingReasons,male,age,edu,income,party,q129_6_text,attitude,englishNative,q1211_2_text,followup,connectID,participantid,assignmentid,projectid
2023-07-17 21:28:21,2023-07-17 21:34:54,IP Address,204.48.37.239,100,393,True,2023-07-17 21:34:55,R_0uOKhTTnUFPvlzr,,,,,40.7597,-73.981,anonymous,EN,1,I agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I am ready for the comprehension quiz.,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7C8F84564DBF41F1A446571E9F996F8D,b4e8ca25-93d0-4c31-8de1-2f85f157c54d,bda424fb-2e88-44a4-8cda-c757228eca82
2023-07-17 21:28:20,2023-07-17 21:35:27,IP Address,199.44.15.4,100,427,True,2023-07-17 21:35:28,R_1jZffIKB0aDS3g9,,,,,30.4427,-84.2867,anonymous,EN,1,I agree,,,,,,,,,,,,I am ready for the comprehension quiz.,True,True,True,5,Worker A is paid $4 USD and Worker B is paid $2 USD.,1,Worker A is paid $4 USD and Worker B is paid $2 USD.,1,Worker A is paid $4 USD and Worker B is paid $2 USD.,10,Worker A is paid $4 USD and Worker B is paid $2 USD.,33,Worker A is paid $4 USD and Worker B is paid $2 USD.,45,Worker A is paid $3 USD and Worker B is paid $3 USD.,50,Worker A is paid $3 USD and Worker B is paid $3 USD.,,,,,,,,,,,,,,,,,,,"Generally, I tended to redistribute the money based on what I believe is fair between the two workers.",,,Both Worker A and Worker B put a similar amount of effort into reading the tutorial materials.,Whether Worker A or Worker B put more effort into answering the multiple-choice questions depended on the specific scenario in question.,,Female,50 to 59,graduated from a 4 year college,"$70,001 to $100,000",Republican,,I feel neutral about the current degree of inequality in society.,Yes,,Yes,EAAAEBFA94524E8F9583D354E056D324,EAAAEBFA94524E8F9583D354E056D324,44ba1127-c4d7-4ee2-be57-630e78a4aa80,bda424fb-2e88-44a4-8cda-c757228eca82
2023-07-17 21:28:17,2023-07-17 21:40:54,IP Address,99.101.216.26,100,757,True,2023-07-17 21:40:56,R_2VElNqXfw1UzTiL,,,,,26.2823,-98.1825,anonymous,EN,1,I agree,I am ready for the comprehension quiz.,True,True,True,Worker A is paid $5 USD and Worker B is paid $1 USD.,Worker A is paid $5 USD and Worker B is paid $1 USD.,Worker A is paid $5 USD and Worker B is paid $1 USD.,Worker A is paid $3 USD and Worker B is paid $3 USD.,Worker A is paid $4 USD and Worker B is paid $2 USD.,Worker A is paid $4 USD and Worker B is paid $2 USD.,Worker A is paid $3 USD and Worker B is paid $3 USD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Generally, I tended to redistribute the money based on what I believe is fair between the two workers.",,,Both Worker A and Worker B put a similar amount of effort into reading the tutorial materials.,Worker A put more effort than Worker B into answering the multiple-choice questions,,Female,40 to 49,graduated from a 4 year college,"$0 to $15,000",Independent,,The amount of inequality in society is somewhat unacceptable.,Yes,,Yes,C2018F956F2B49F19575F350C793A870,C2018F956F2B49F19575F350C793A870,22b11e21-aaaf-4b79-9db5-eea0e7702dbf,bda424fb-2e88-44a4-8cda-c757228eca82
2023-07-17 21:35:43,2023-07-17 21:45:21,IP Address,50.4.120.106,100,577,True,2023-07-17 21:45:21,R_x469Bl07dRE8DqV,,,,,42.6563,-83.1231,anonymous,EN,1,I agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I am ready for the comprehension quiz.,True,True,True,18,Worker A is paid $5 USD and Worker B is paid $1 USD.,0,Worker A is paid $6 USD and Worker B is paid $0 USD.,1,Worker A is paid $6 USD and Worker B is paid $0 USD.,10,Worker A is paid $5 USD and Worker B is paid $1 USD.,45,Worker A is paid $6 USD and Worker B is paid $0 USD.,50,Worker A is paid $6 USD and Worker B is paid $0 USD.,50,Worker A is paid $6 USD and Worker B is paid $0 USD.,"Generally, I tended not to redistribute because I believe the original rules of the reward scheme between the two workers should be followed.",,,Whether Worker A or Worker B put more effort into reading the tutorial materials depended on the specific scenario in question.,Whether Worker A or Worker B put more effort into answering the multiple-choice questions depended on the specific scenario in question.,Worker B is more capable or skilled than Worker A.,Other or prefer not to say,40 to 49,graduated from a 4 year college,"$70,001 to $100,000",Independent,,The amount of inequality in society is somewhat unacceptable.,Yes,,Yes,C74D0F18B0A546C2A2210A0DEEC43052,C74D0F18B0A546C2A2210A0DEEC43052,910abc76-5223-4a9a-bc6c-2602307e4e35,bda424fb-2e88-44a4-8cda-c757228eca82
2023-07-17 22:32:36,2023-07-17 22:34:03,IP Address,75.190.243.138,100,87,True,2023-07-17 22:34:04,R_1gbfBwse92lyAjf,,,,,35.5838,-80.864,anonymous,EN,1,I agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I am ready for the comprehension quiz.,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1E9F2DF0EAC14FE5ACF9DC801B872A3F,f253f3e0-1ab3-49b4-97cb-b3f12ea807cc,27d9e8d6-d188-48dd-ab79-64e3ff38c611
2023-07-17 22:32:42,2023-07-17 22:35:29,IP Address,108.225.187.205,100,166,True,2023-07-17 22:35:29,R_2YW0lGO6uTwzMCD,,,,,37.9985,-121.8878,anonymous,EN,1,I agree,,,,,,,,,,,,I am ready for the comprehension quiz.,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A699A5BD5CAF498BB628DCFC0E454DED,ad0e417c-4a7a-49a4-bbeb-51e309fc7916,27d9e8d6-d188-48dd-ab79-64e3ff38c611
2023-07-17 22:34:31,2023-07-17 22:37:05,IP Address,76.104.104.130,100,153,True,2023-07-17 22:37:06,R_2dR1PRwMgAibbtF,,,,,37.1794,-77.3858,anonymous,EN,0.8999999761581421,I agree,,,,,,,,,,,,I am ready for the comprehension quiz.,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,083160DC9EF246E0AB3732F904EB7872,0a313b51-07be-494b-bd1c-626b1b94fa6f,27d9e8d6-d188-48dd-ab79-64e3ff38c611
2023-07-17 22:34:22,2023-07-17 22:38:27,IP Address,104.28.112.4,100,245,True,2023-07-17 22:38:27,R_1Op2iQhppu7px6r,,,,,32.2163,-110.9241,anonymous,EN,1,I agree,I am ready for the comprehension quiz.,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AF09ECC56B13406EAA4D174850B78291,3661de5f-620e-4664-8c3c-9e27a67aa6db,27d9e8d6-d188-48dd-ab79-64e3ff38c611
2023-07-17 22:32:21,2023-07-17 22:39:04,IP Address,71.143.151.139,100,403,True,2023-07-17 22:39:05,R_3qJNEZzOCIk9aR7,,,,,35.2296,-80.843,anonymous,EN,0.8999999761581421,I agree,I am ready for the comprehension quiz.,True,True,True,Worker A is paid $5 USD and Worker B is paid $1 USD.,Worker A is paid $6 USD and Worker B is paid $0 USD.,Worker A is paid $6 USD and Worker B is paid $0 USD.,Worker A is paid $3 USD and Worker B is paid $3 USD.,Worker A is paid $3 USD and Worker B is paid $3 USD.,Worker A is paid $3 USD and Worker B is paid $3 USD.,Worker A is paid $3 USD and Worker B is paid $3 USD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Generally, I tended not to redistribute because I believe the original rules of the reward scheme between the two workers should be followed.",,,Whether Worker A or Worker B put more effort into reading the tutorial materials depended on the specific scenario in question.,Whether Worker A or Worker B put more effort into answering the multiple-choice questions depended on the specific scenario in question.,,Male,40 to 49,graduated from a 4 year college,"$70,001 to $100,000",Independent,,The amount of inequality in society is somewhat unacceptable.,Yes,,Yes,9FF5D3BF714E4790AA2D2CEE3F99C74E,9FF5D3BF714E4790AA2D2CEE3F99C74E,d062320d-6624-47c3-9ae6-375d3962b404,27d9e8d6-d188-48dd-ab79-64e3ff38c611
2023-07-17 22:32:53,2023-07-17 22:39:34,IP Address,69.140.203.68,100,400,True,2023-07-17 22:39:35,R_0e6peKRpUiF7Xgt,,,,,39.3248,-76.6062,anonymous,EN,1,I agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I am ready for the comprehension quiz.,True,True,True,46,Worker A is paid $4 USD and Worker B is paid $2 USD.,0,Worker A is paid $4 USD and Worker B is paid $2 USD.,22,Worker A is paid $4 USD and Worker B is paid $2 USD.,42,Worker A is paid $4 USD and Worker B is paid $2 USD.,45,Worker A is paid $4 USD and Worker B is paid $2 USD.,51,Worker A is paid $4 USD and Worker B is paid $2 USD.,50,Worker A is paid $4 USD and Worker B is paid $2 USD.,"Generally, I tended to redistribute the money based on what I believe is fair between the two workers.",,,Whether Worker A or Worker B put more effort into reading the tutorial materials depended on the specific scenario in question.,Whether Worker A or Worker B put more effort into answering the multiple-choice questions depended on the specific scenario in question.,"Worker B answered their 11 questions very carefully, while Worker A was not so careful when answering their 15 multiple-choice questions.",Female,18 to 22,"some college education, or 2 year college degree","$0 to $15,000",Independent,,I feel neutral about the current degree of inequality in society.,Yes,,Yes,DA8EE61617C34F8B823B490CBA6D8BCD,DA8EE61617C34F8B823B490CBA6D8BCD,507a7555-9bb4-421f-85d8-2c0516af45e2,27d9e8d6-d188-48dd-ab79-64e3ff38c611
