startdate,enddate,status,ipaddress,progress,durationinseconds,finished,recordeddate,responseid,recipientlastname,recipientfirstname,recipientemail,externalreference,locationlatitude,locationlongitude,distributionchannel,userlanguage,q11,q41,q51,q61,q71,q81,q91,q111_firstclick,q111_lastclick,q111_pagesubmit,q111_clickcount,q121_firstclick,q121_lastclick,q121_pagesubmit,q121_clickcount,q123,q124,q125,q126,q127,q128,q129,q1210,q1211,q1212,q1213,q1214,q1215,q1216,q1217,q151_firstclick,q151_lastclick,q151_pagesubmit,q151_clickcount,q161_firstclick,q161_lastclick,q161_pagesubmit,q161_clickcount,q163,q164,q165,q166,q171_1,q171_2,q171_3,q171_4,q171_5,q172,q173,q174,q175,q176,q176_6_text,q177,q178,q178_2_text,q179,q1710,sc0,sc1,confirmation_code,fl_39_do,fl_7_do,fl_21_do,fl_16_do,batch
4/20/2022 9:02,4/20/2022 9:04,IP Address,65.33.105.140,100,165,TRUE,4/20/2022 9:04,R_3notkQVRW6TIG3u,,,,,28.0206,-82.4574,anonymous,ZH-S,I agree,,,Jim is awarded a bonus of $300 and Bill is awarded a bonus of $300,,,,0,0,35.033,0,,,,,,,,,,,,,,,,,,,,,,,,4.46,26.363,27.237,7,Building tunnels in the soil,Help them grip the ground,Fertilizer,Ring shaped parts that bend and stretch,10,10,0,0,10,Male,23 to 29,"some college education, or 2 year college degree","$0 to $15,000",Independent,,The amount of inequality in society is very unacceptable.,Yes,,No,ADEWILWI6SVLG,0,4,43011,Vignette-MeritEmployment,FL_14,,test-short,1
4/20/2022 9:02,4/20/2022 9:05,IP Address,202.182.64.186,100,173,TRUE,4/20/2022 9:05,R_1f2xjdV1JQi9L5F,,,,,40.7683,-73.9802,anonymous,ZH-S,I agree,,,,,At least 20% but below 40% of managers,,0,0,2.122,0,4.104,41.756,42.768,18,Trapping their prey,Help them grip the ground,Insect repellent,Tiny scales similar to those of a snake,Moss or other plants,More than 50,9 months,To attract a mate,The better part of a year,Through their nose,Cool and dry,Through their skin,Casings,"Rats, fish, hawks and spiders",Twice its own body weight,,,,,,,,,,,,,5,6,7,6,7,Male,40 to 49,graduated from a 4 year college,"$70,001 to $100,000",Democrat,,The amount of inequality in society is moderately reasonable.,Yes,,Yes,A1QE9RSFVF575D,2,0,29571,Vignette-InfoOpportunity,FL_12,,,1
4/20/2022 9:00,4/20/2022 9:06,IP Address,68.34.249.234,100,363,TRUE,4/20/2022 9:06,R_24wIlFmj94bQiTf,,,,,43.1963,-86.2717,anonymous,ZH-S,I agree,,,Jim is awarded a bonus of $600 and Bill is awarded a bonus of $0,,,,8.826,9.205,71.968,2,3.598,113.349,115.275,16,Building tunnels in the soil,Help them grip the ground,Fertilizer,Ring shaped parts that bend and stretch,Dirt,More than 100,6 years,To create walls for the tunnels they dig,Weeks to months,Through their skin,Warm and wet,Through their skin,Castings,"Moles, rats, fish and toads",1/3 its own body weight,,,,,,,,,,,,,8,8,9,9,9,Male,40 to 49,completed high school,"$30,001 to $50,000",Republican,,The amount of inequality in society is somewhat unacceptable.,Yes,,Yes,AUPGB7M3XAFVY,15,0,12944,Vignette-MeritEmployment,FL_12,,,1
4/20/2022 9:02,4/20/2022 9:06,IP Address,73.138.158.129,100,278,TRUE,4/20/2022 9:06,R_3n102mmkWW6C42L,,,,,25.7588,-80.1963,anonymous,ZH-S,I agree,Jim is awarded a bonus of $600 and Bill is awarded a bonus of $0,,,,,,4.902,84.413,114.208,5,,,,,,,,,,,,,,,,,,,,,,,,2.972,18.266,19.263,4,Building tunnels in the soil,Help them grip the ground,Fertilizer,Ring shaped parts that bend and stretch,7,8,10,4,3,Male,40 to 49,"some college education, or 2 year college degree","$50,001 to $70,000",Independent,,The amount of inequality in society is somewhat unacceptable.,Yes,,Yes,A3M8O363B3IAKE,0,4,93072,Vignette-MeritOpportunity,FL_14,,test-short,1
4/20/2022 9:02,4/20/2022 9:06,IP Address,142.79.99.239,100,275,TRUE,4/20/2022 9:06,R_1QszncTMIowWVFo,,,,,34.1892,-92.0495,anonymous,ZH-S,I agree,,Jim is awarded a bonus of $300 and Bill is awarded a bonus of $300,,,,,0,0,57.454,0,,,,,,,,,,,,,,,,,,,,,,,,6.735,18.59,19.858,4,Building tunnels in the soil,Help them grip the ground,Fertilizer,Ring shaped parts that bend and stretch,6,8,5,4,2,Male,30 to 39,completed high school,"$0 to $15,000",Democrat,,The amount of inequality in society is somewhat unacceptable.,Yes,,Yes,ARL4T9U18Q3FS,0,4,44667,Vignette-RandomOpportunity,FL_14,,test-short,1
4/20/2022 9:02,4/20/2022 9:07,IP Address,76.72.133.202,100,295,TRUE,4/20/2022 9:07,R_0k26ohzK759wXg5,,,,,38.7742,-76.0759,anonymous,ZH-S,I agree,,,,Jim is awarded a bonus of $300 and Bill is awarded a bonus of $300,,,0,0,57.591,0,6.052,78.178,79.215,18,Building tunnels in the soil,Help them grip the ground,Fertilizer,Ring shaped parts that bend and stretch,Dirt,More than 100,6 years,To create walls for the tunnels they dig,Over one year,Through their skin,Warm and wet,Through their skin,Castings,"Moles, rats, fish and toads",1/3 its own body weight,,,,,,,,,,,,,7,7,7,7,8,Male,23 to 29,completed high school,"$30,001 to $50,000",Democrat,,The amount of inequality in society is very unacceptable.,Yes,,Yes,A38L7F7NFG0NY4,14,0,51702,Vignette-RandomEmployment,FL_14,,test-long,1
4/20/2022 9:02,4/20/2022 9:07,IP Address,24.8.192.145,100,273,TRUE,4/20/2022 9:07,R_SN1KlXtPPMvV4Bj,,,,,38.9129,-104.7794,anonymous,ZH-S,I agree,,,,,,At least 60% but below 80% of managers,0,0,45.518,0,5.706,66.901,67.746,17,Building tunnels in the soil,Help them grip the ground,Fertilizer,Ring shaped parts that bend and stretch,Dirt,More than 100,6 years,To create walls for the tunnels they dig,Weeks to months,Through their skin,Warm and wet,Through their skin,Castings,"Moles, rats, fish and toads",1/3 its own body weight,,,,,,,,,,,,,5,6,6,4,6,Male,30 to 39,graduated from a 4 year college,"$0 to $15,000",Independent,,I feel neutral about the current degree of inequality in society.,Yes,,Yes,A1YPIJR0B4YDEW,15,0,84328,Vignette-InfoEmployment,FL_13,tutorial-highrelevance,,1
4/20/2022 9:01,4/20/2022 9:08,IP Address,173.20.5.31,100,415,TRUE,4/20/2022 9:08,R_xAyJYOlIFZfuCGt,,,,,33.3931,-111.5768,anonymous,ZH-S,I agree,,,,,,At least 80% of managers,0,0,73.505,0,4.684,77.946,78.76,17,Building tunnels in the soil,Help them grip the ground,Fertilizer,Ring shaped parts that bend and stretch,Dirt,More than 100,6 years,To create walls for the tunnels they dig,Weeks to months,Through their skin,Warm and wet,Through their skin,Castings,"Moles, rats, fish and toads",1/3 its own body weight,,,,,,,,,,,,,10,10,10,0,10,Male,40 to 49,"some college education, or 2 year college degree","$0 to $15,000",Democrat,,The amount of inequality in society is very unacceptable.,Yes,,Yes,A181HHZC94KPZR,15,0,86287,Vignette-InfoEmployment,FL_12,,,1
4/20/2022 9:00,4/20/2022 9:08,IP Address,104.128.161.35,100,444,TRUE,4/20/2022 9:08,R_p4sH01lJf6xx0kx,,,,,35.0788,-85.063,anonymous,ZH-S,I agree,Jim is awarded a bonus of $400 and Bill is awarded a bonus of $200,,,,,,0,0,13.505,0,31.48,227.577,228.626,17,Building tunnels in the soil,Help them grip the ground,Fertilizer,Ring shaped parts that bend and stretch,Dirt,More than 100,6 years,To create walls for the tunnels they dig,Weeks to months,Through their skin,Warm and wet,Through their skin,Castings,"Moles, rats, fish and toads",1/3 its own body weight,,,,,,,,,,,,,8,8,4,2,7,Male,23 to 29,graduated from a 4 year college,"$70,001 to $100,000",Democrat,,The amount of inequality in society is somewhat unacceptable.,Yes,,Yes,A235RE08090NDB,15,0,20339,Vignette-MeritOpportunity,FL_11,,,1
4/20/2022 9:00,4/20/2022 9:08,IP Address,107.77.215.176,100,455,TRUE,4/20/2022 9:08,R_3hFUjEaRDii1BFd,,,,,28.6344,-81.6221,anonymous,ZH-S,I agree,Jim is awarded a bonus of $300 and Bill is awarded a bonus of $300,,,,,,6.008,174.729,182.919,21,1.709,68.695,69.437,60,Building tunnels in the soil,Help them grip the ground,Fertilizer,Ring shaped parts that bend and stretch,Dirt,More than 100,6 years,To create walls for the tunnels they dig,Weeks to months,Through their skin,Warm and wet,Through their skin,Castings,"Moles, rats, fish and toads",1/3 its own body weight,,,,,,,,,,,,,4,5,10,1,5,Male,23 to 29,completed high school,"$30,001 to $50,000",Republican,,The amount of inequality in society is very reasonable.,Yes,,Yes,A2RRK8SV0VBLTJ,15,0,29042,Vignette-MeritOpportunity,FL_14,,test-long,1
